id,3PM,OREB
217,0.659988, 0.827812
219,0.998821, 0.484921
220,0.867413, 0.744912
221,0.631114, 0.899866
223,0.532999, 0.936414
224,0.907189, 0.810726
225,0.903948, 0.691131
226,1.000000, 0.759768
227,0.999116, 0.772545
228,0.999705, 0.668846
229,0.983795, 0.941613
230,1.000000, 0.771356
231,0.874484, 0.748626
232,0.804361, 0.729461
233,0.991456, 0.673005
234,0.823217, 0.858862
235,0.678256, 0.956470
236,1.000000, 0.730798
237,1.000000, 0.685485
238,0.740424, 0.823206
239,0.633176, 0.911009
241,0.549794, 0.944288
242,0.661167, 0.904472
243,0.985563, 0.863319
245,0.873011, 0.790373
246,0.981732, 0.916951
247,0.783736, 0.809687
249,1.000000, 0.748923
250,0.780200, 0.836131
251,0.979965, 0.417026
252,0.663819, 0.940425
253,0.843842, 0.884118
254,0.829994, 0.918734
256,0.987920, 0.773733
257,0.713023, 0.887981
258,0.998821, 0.685188
259,0.963465, 0.501709
261,0.847378, 0.906997
262,0.997938, 0.631853
263,0.683559, 0.911752
264,0.984679, 0.894072
267,0.727166, 0.880998
268,0.431349, 0.926608
269,0.950501, 0.860793
270,0.970242, 0.851731
271,0.808191, 0.946368
272,0.824396, 0.767791
273,0.970536, 0.929728
274,0.425457, 0.974447
275,0.999705, 0.705096
276,0.692104, 0.907592
277,0.704773, 0.896746
278,0.680318, 0.919328
279,0.621980, 0.848908
280,0.278138, 0.948745
282,0.997643, 0.758728
283,0.967590, 0.788442
284,0.975250, 0.776853
285,0.669122, 0.921854
286,0.988509, 0.663794
287,0.998821, 0.806269
288,0.664408, 0.873719
289,0.975545, 0.784430
290,0.982911, 0.653840
292,0.752210, 0.777448
293,1.000000, 0.697668
294,0.635828, 0.895558
296,0.876841, 0.855148
297,1.000000, 0.434259
299,0.774013, 0.896449
300,0.626400, 0.936265
301,0.527107, 0.839400
304,0.689157, 0.849799
305,0.988214, 0.864805
308,0.891868, 0.733472
309,0.682086, 0.934037
310,0.635533, 0.960927
311,0.579258, 0.925271
312,0.997938, 0.636755
314,0.832351, 0.832863
315,0.993223, 0.890507
317,0.999705, 0.680582
318,0.991161, 0.635121
319,1.000000, 0.848314
320,0.971126, 0.922894
322,0.802887, 0.826177
323,0.972893, 0.759174
324,0.463465, 0.927351
325,0.654979, 0.950527
326,0.615793, 0.896301
327,0.819093, 0.718615
328,0.632882, 0.903878
330,0.712434, 0.939236
331,0.964643, 0.902689
332,0.990866, 0.636904
333,0.531526, 0.906106
334,0.691809, 0.810429
335,0.998232, 0.690685
336,0.599293, 0.832863
337,0.629935, 0.943842
338,0.997938, 0.749220
339,0.961697, 0.900163
341,0.930466, 0.759174
342,0.993223, 0.902986
343,0.727460, 0.917991
344,0.639953, 0.938048
345,0.997938, 0.797504
346,0.999411, 0.720695
347,0.838833, 0.900461
348,0.677666, 0.939534
349,0.865056, 0.869707
350,0.734237, 0.718021
351,0.632292, 0.938494
352,0.851797, 0.855148
353,0.531821, 0.854999
355,0.999116, 0.690239
356,0.754862, 0.956916
358,0.989982, 0.827960
359,0.826458, 0.878324
360,0.966411, 0.930174
361,0.637890, 0.914574
362,0.997054, 0.684148
363,0.999411, 0.894369
364,0.999705, 0.686822
365,0.969652, 0.826623
366,0.830583, 0.857376
367,0.942546, 0.676423
368,0.952269, 0.785767
370,0.999411, 0.820680
372,0.748379, 0.915317
373,0.995580, 0.495766
374,0.593989, 0.946665
375,0.999116, 0.755311
376,0.995286, 0.796464
377,0.940189, 0.774922
378,0.845610, 0.890358
380,0.644372, 0.950379
382,0.969358, 0.930174
383,0.973188, 0.879067
385,0.988804, 0.854554
388,0.791397, 0.959293
389,0.999411, 0.931511
391,0.883913, 0.936859
392,0.998232, 0.681771
393,0.972599, 0.786956
394,0.928108, 0.927202
397,0.660283, 0.936711
398,0.880082, 0.829892
399,0.998232, 0.945625
400,0.994402, 0.912643
401,0.828226, 0.915911
403,0.684738, 0.941019
404,0.938715, 0.763037
405,0.691809, 0.941762
406,0.997643, 0.554004
407,0.703595, 0.899866
408,0.784620, 0.849057
409,0.999411, 0.692468
410,0.941662, 0.743575
412,0.762817, 0.943693
413,0.940778, 0.746249
414,0.692988, 0.957956
415,0.990277, 0.916803
416,0.764585, 0.957213
417,0.999411, 0.715941
418,0.631114, 0.899272
419,0.720389, 0.938196
420,0.654685, 0.953944
421,0.685916, 0.920814
422,0.975545, 0.677908
423,1.000000, 0.475709
424,0.796700, 0.810578
425,0.716559, 0.880107
426,0.891868, 0.792007
428,0.803477, 0.899569
429,0.804361, 0.958253
